,track_id,album_name,artists,track_name,release_date,track_genre,duration_ms,explicit,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,preview_url,popularity
3495,3tYAfLlWTekl6vCp5viAj4,The Other Side,Ed Prosek,The Other Side,2021-03-26,rainy-day,233307,False,https://api.spotify.com/v1/tracks/3tYAfLlWTekl6vCp5viAj4,0.605,0.272,9,-12.933,1,0.0328,0.776,4.74e-05,0.0804,0.302,129.924,4,https://p.scdn.co/mp3-preview/fcbde4a57b2e8defdc4251b12e66d2a419677cf7?cid=1b0f76afafac4d4898811b950e1a0c08,53
3496,4gVZhkcsZcwQ4mU1gEeXEO,XIII,CLOVES,Don't Forget About Me,2015-11-20,rainy-day,268853,False,https://api.spotify.com/v1/tracks/4gVZhkcsZcwQ4mU1gEeXEO,0.494,0.243,5,-9.083,0,0.0316,0.822,0.00225,0.147,0.0722,126.063,4,,58
3497,3Cs4g3w33H9YEptmg34DQc,Deaf Heat EP,Marika Hackman,I Follow Rivers,2014-04-14,rainy-day,166762,False,https://api.spotify.com/v1/tracks/3Cs4g3w33H9YEptmg34DQc,0.275,0.175,7,-15.043,1,0.0373,0.793,0.0218,0.111,0.0382,85.56,3,https://p.scdn.co/mp3-preview/c77b66da314d3741f60f4d3c701d3503a7e9158c?cid=1b0f76afafac4d4898811b950e1a0c08,53
3498,2vzxqzVHZW8VP1Z4ZNL7JC,That Spell,Andrea von Kampen,Of Him I Love Both Day and Night,2021-08-06,rainy-day,64492,False,https://api.spotify.com/v1/tracks/2vzxqzVHZW8VP1Z4ZNL7JC,0.608,0.213,2,-15.041,1,0.0305,0.956,0.00735,0.0984,0.457,159.851,4,,56
3499,6Yy3QRfT2WsUXrdplVdt4h,Esja,Hania Rani,Eden,2019-04-05,rainy-day,295293,False,https://api.spotify.com/v1/tracks/6Yy3QRfT2WsUXrdplVdt4h,0.437,0.183,9,-25.455,0,0.0369,0.985,0.916,0.0989,0.0393,138.098,4,https://p.scdn.co/mp3-preview/1a29f2891848866398ebbe2448005a59bb063bf7?cid=1b0f76afafac4d4898811b950e1a0c08,53
3500,3us8sod4dLbM9FiMiPiEY8,Black Bear (Hushed),Andrew Belle,Pieces (Hushed),2014-10-07,rainy-day,198626,False,https://api.spotify.com/v1/tracks/3us8sod4dLbM9FiMiPiEY8,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,https://p.scdn.co/mp3-preview/86701292973a3ea553f5d48664aac444c4bf29b3?cid=1b0f76afafac4d4898811b950e1a0c08,58
3501,4XBcShO4h4X55x9yMmyKHL,1000 Years,Allman Brown,Sweetest Thing,2017-02-10,rainy-day,218502,False,https://api.spotify.com/v1/tracks/4XBcShO4h4X55x9yMmyKHL,0.546,0.411,2,-9.308,1,0.0475,0.701,9.73e-05,0.0955,0.528,79.785,4,https://p.scdn.co/mp3-preview/9c9848413ff6b6a58bf27db5da3850d6fe90ace1?cid=1b0f76afafac4d4898811b950e1a0c08,52
3502,6FMEhitPeeZldk6hTVHMx3,Wake Up Now,Nick Mulvey,We Are Never Apart,2017-09-08,rainy-day,274226,False,https://api.spotify.com/v1/tracks/6FMEhitPeeZldk6hTVHMx3,0.713,0.476,6,-8.028,1,0.0268,0.68,0.0147,0.117,0.603,104.495,4,,52
3503,4fOMpHPfJB3v65iVNSBkxy,"Quiet Moon, Wild Sea",Dustin Tebbutt,"Quiet Moon, Wild Sea",2022-10-07,rainy-day,248858,False,https://api.spotify.com/v1/tracks/4fOMpHPfJB3v65iVNSBkxy,0.562,0.535,5,-10.79,1,0.04,0.389,0.0704,0.0794,0.196,86.923,4,https://p.scdn.co/mp3-preview/605f103aca166c8080eb70a28d5ffbbc6e87c57a?cid=1b0f76afafac4d4898811b950e1a0c08,55
3504,4gWSTEBZxAvH1cKq2u8jfQ,(self-titled),"Marcus Mumford, Monica Martin, ",Go In Light (feat. Monica Martin),2022-09-16,rainy-day,181706,False,https://api.spotify.com/v1/tracks/4gWSTEBZxAvH1cKq2u8jfQ,0.605,0.277,1,-11.333,1,0.142,0.495,1.87e-05,0.108,0.418,169.185,4,,56
3507,2qpmDv8xnUxULb5TlDk9yS,Are You Happy Now?,Jensen McRae,My Ego Dies At The End,2022-03-22,rainy-day,242644,False,https://api.spotify.com/v1/tracks/2qpmDv8xnUxULb5TlDk9yS,0.698,0.448,3,-6.357,1,0.0345,0.233,1.37e-06,0.348,0.551,129.969,4,https://p.scdn.co/mp3-preview/72706b8f7c7923e5ff7745602cfd59429db18149?cid=1b0f76afafac4d4898811b950e1a0c08,52
3508,0SjtVyfdl77VKgd8yrvsWJ,I Forget Where We Were,Ben Howard,Time Is Dancing,2014-10-20,rainy-day,409160,False,https://api.spotify.com/v1/tracks/0SjtVyfdl77VKgd8yrvsWJ,0.404,0.534,10,-13.012,1,0.0435,0.82,0.708,0.107,0.182,150.896,4,,50
3510,7lWKpA4JZrGVqYURuz7cnu,Change It All,Harrison Storm,Change It All,2017-09-22,rainy-day,247413,False,https://api.spotify.com/v1/tracks/7lWKpA4JZrGVqYURuz7cnu,0.446,0.303,10,-12.504,1,0.0439,0.631,0.00516,0.118,0.24,120.636,4,https://p.scdn.co/mp3-preview/65904794b3cf7efb5f1b1f115c7a1fd3d951072a?cid=1b0f76afafac4d4898811b950e1a0c08,56
3511,5dmrLolEgTr4TT0AhOxk5x,White Water,Dustin Tebbutt,White Water,2020-04-02,rainy-day,233391,False,https://api.spotify.com/v1/tracks/5dmrLolEgTr4TT0AhOxk5x,0.594,0.289,3,-13.348,1,0.0339,0.887,0.00537,0.108,0.0907,108.002,4,https://p.scdn.co/mp3-preview/1e1af93504c96ddfebbc1c4a7d4823321987476a?cid=1b0f76afafac4d4898811b950e1a0c08,59
3512,2Fa5PjvjXH1qKWI0umk4oY,If You Leave,Daughter,Smother,2013-01-01,rainy-day,240560,False,https://api.spotify.com/v1/tracks/2Fa5PjvjXH1qKWI0umk4oY,0.509,0.141,1,-16.469,1,0.0339,0.926,0.0496,0.124,0.115,125.012,4,https://p.scdn.co/mp3-preview/a2156e4172ff89089ed012c0db2121481c7b51c6?cid=1b0f76afafac4d4898811b950e1a0c08,50
3513,0ut7f4KB9sZQ8uhA4HyOMt,Sad Hunk,Bahamas,Half Your Love,2020-10-09,rainy-day,144186,False,https://api.spotify.com/v1/tracks/0ut7f4KB9sZQ8uhA4HyOMt,0.73,0.249,9,-9.888,0,0.0344,0.886,0.0,0.096,0.332,132.007,4,,54
3514,7ERXXehG6qY2uDDiKhRNlx,A Place,Ocie Elliott,A Place,2021-06-04,rainy-day,225356,False,https://api.spotify.com/v1/tracks/7ERXXehG6qY2uDDiKhRNlx,0.397,0.263,9,-14.049,1,0.0291,0.899,0.872,0.119,0.193,84.724,4,https://p.scdn.co/mp3-preview/a933ea53470bbf4b96f232d58804749566e0047f?cid=1b0f76afafac4d4898811b950e1a0c08,55
3517,4FxBG9VPpxPXMDgqLgW5ZD,The Fray,John Smith,Hold On,2021-03-26,rainy-day,291826,False,https://api.spotify.com/v1/tracks/4FxBG9VPpxPXMDgqLgW5ZD,0.609,0.381,7,-11.106,1,0.0311,0.886,0.126,0.0997,0.43,100.979,4,https://p.scdn.co/mp3-preview/7cdc817c99407fbfa55c5a5ec8d6b7469bec5c14?cid=1b0f76afafac4d4898811b950e1a0c08,53
3518,0s7rK6ZBik5I0t1gxSVQRg,Thirteen Sad Farewells,Stu Larsen,Thirteen Sad Farewells,2014-05-28,rainy-day,165613,False,https://api.spotify.com/v1/tracks/0s7rK6ZBik5I0t1gxSVQRg,0.647,0.402,6,-9.922,1,0.035,0.443,0.000244,0.387,0.437,114.039,4,https://p.scdn.co/mp3-preview/5d21607dde4031597036113973614c2e15070030?cid=1b0f76afafac4d4898811b950e1a0c08,52
3519,3PTsvzTENG4jREGGQz9xpb,The Way Back Home,Aisha Badru,The Way Back Home,2021-08-06,rainy-day,214361,False,https://api.spotify.com/v1/tracks/3PTsvzTENG4jREGGQz9xpb,0.491,0.328,9,-16.564,1,0.0384,0.684,0.000146,0.0848,0.107,81.958,4,https://p.scdn.co/mp3-preview/f784df5d6218a7dd5f654fbac815acfbe352404a?cid=1b0f76afafac4d4898811b950e1a0c08,58
3520,4gFakkHz0RjUrbf9Ufilb7,Already Gone,Sons Of The East,Into The Sun - EP Version,2015-11-06,rainy-day,300499,False,https://api.spotify.com/v1/tracks/4gFakkHz0RjUrbf9Ufilb7,0.585,0.348,11,-10.268,1,0.0361,0.585,7.47e-05,0.101,0.101,109.97,4,https://p.scdn.co/mp3-preview/217148213f5e3a5c529f4b6e61882b413cb4bb79?cid=1b0f76afafac4d4898811b950e1a0c08,58
3521,0aTsSP2JiY53i0uZM24Zwp,What Went Down,Foals,London Thunder,2015-08-28,rainy-day,254426,False,https://api.spotify.com/v1/tracks/0aTsSP2JiY53i0uZM24Zwp,0.478,0.357,6,-9.745,1,0.026,0.641,0.309,0.0838,0.0388,91.735,4,https://p.scdn.co/mp3-preview/eaa580dae53274cf37faa8204526cb16636d08d2?cid=1b0f76afafac4d4898811b950e1a0c08,54
3522,5rqyKvOkKWR6LrKOjYKQXx,Mountain,Boundary Run,Mountain,2019-04-25,rainy-day,182465,False,https://api.spotify.com/v1/tracks/5rqyKvOkKWR6LrKOjYKQXx,0.45,0.353,0,-10.866,0,0.0334,0.93,0.0877,0.11,0.151,73.499,4,https://p.scdn.co/mp3-preview/b3519ee60dc7313b0154ba3a615e0779f5bf9144?cid=1b0f76afafac4d4898811b950e1a0c08,49
3523,5ivNQNApxeZA9Vp37KwjXU,comatose,sød ven,comatose,2018-09-07,rainy-day,216000,False,https://api.spotify.com/v1/tracks/5ivNQNApxeZA9Vp37KwjXU,0.39,0.485,4,-11.611,1,0.0294,0.613,0.381,0.0738,0.176,90.073,4,https://p.scdn.co/mp3-preview/6b0c9fe66775aacf2af0c3e98adc8ddd176b1499?cid=1b0f76afafac4d4898811b950e1a0c08,40
3525,3TRvQGbYUOpYavIpNYcpPW,You Belong to Me,Cat Pierce,You Belong to Me,2017-01-20,rainy-day,241326,False,https://api.spotify.com/v1/tracks/3TRvQGbYUOpYavIpNYcpPW,0.32,0.552,0,-5.991,0,0.0354,0.727,6.74e-05,0.106,0.357,122.139,4,https://p.scdn.co/mp3-preview/73d2c51a6a9fd6162e5644b6ae9cdfa395d4b200?cid=1b0f76afafac4d4898811b950e1a0c08,44
