,track_id,combo
84,77loZpT5Y5PRP1S451P9Yz,alt-rock alternative funk grunge metal rock
85,7aDOJxh95VAx7G76l9YajI,alt-rock alternative indie latin rock
86,0T7DQlfcadEUEjxoHeQQaL,alt-rock alternative indie latin rock
87,3kQhWtoluFHPbcBC6gyYrZ,alt-rock alternative indie latin rock
88,4OtSo1ZTQWRWE53ZvBfBTV,alt-rock alternative indie-pop indie rock
89,6w1n5rbFLWKscpvAbYGOru,alt-rock alternative indie-pop indie rock
90,5j8hhWf7dxILKgMsRSScbM,alt-rock alternative indie latin rock
91,5Q6fh8OEhBYepJaORz9lxe,alt-rock alternative rock
92,73jVPicY2G9YHmzgjk69ae,alt-rock alternative rock
93,5Sco7mbJy7p7vdDtJW10fZ,alt-rock alternative rock
94,2UREu1Y8CO4jXkbvqAtP7g,alt-rock alternative metal rock
95,48UPSzbZjgc449aqz8bxox,alt-rock alternative funk metal rock
96,3dPQuX8Gs42Y7b454ybpMR,alt-rock alternative blues rock
97,10nyNJ6zNy2YVYLrcwLccB,alt-rock alternative indie rock
98,0AOmbw8AwDnwXhHC3OhdVB,alt-rock alternative metal rock
99,6VuztO5yaKP4VjqSkZxpan,alt-rock alternative rock
100,74NANS3BFQRnpz3S0JVg5o,alt-rock alternative grunge metal rock
101,1BGMcTlICbYWgfjiRrm3RJ,alt-rock alternative rock
102,2Lkn3Of9JHY6RSA8c3omKT,alt-rock alternative grunge metal rock
103,1aL952bo0KZTPevSl3207C,alt-rock alternative grunge metal rock
104,5ugV3rhvi2h6l52e1cIfLw,alt-rock alternative grunge metal rock
105,7Bcjjhemjq1HxoWkTw4X6O,alt-rock alternative industrial metal
106,6RLT4oQWaW3WiBmuTFBZnI,alt-rock alternative metal rock
107,12sPGeSWgxY2zpPupFYIrZ,alt-rock alternative metal rock
108,7IMnJ5f7mRoGTtf8TPAILw,alt-rock alternative metal rock
109,41f2eGe9sdVQ56ZjRRrowP,alt-rock alternative industrial metal
110,5u4jJAAD6jd0Z741eT7XGP,alt-rock alternative metal rock
111,5TuTzdZVv2k4Gtl7Rn6pow,alt-rock alternative latin rock ska
112,12xfRpp5r3akA2BZFPEVwv,alt-rock alternative metal rock
113,2UzNyk6tBmMaXf1dphGUo0,alt-rock alternative metal rock
114,11jMqNuaE2vTsBBjESguoL,alt-rock alternative latin rock ska
115,71jFgtUBKrBuIO6jeUYu9J,alt-rock alternative latin rock ska
116,2Ns9vtFyKhGoI0vCFLHQOR,alt-rock alternative latin rock ska
117,2u0CelO5c81XS7z3dGpHbS,alt-rock alternative rock
118,0VF7YLIxSQKyNiFL3X6MmN,alt-rock alternative rock
119,5SDcksP8En1l6RtTY1wzHc,alt-rock alternative
120,0uBdQzKghx88d2Lp8SLFKJ,alt-rock alternative rock
121,003vvx7Niy0yvhvHt4a68B,alt-rock alternative rock
122,2aibwv5hGXSgw7Yru8IYTO,alt-rock alternative funk metal rock
123,7Fv8Qp3tTSbSS2VjryUF7L,alt-rock alternative rock
124,2RsAajgo0g7bMCHxwH3Sk0,alt-rock alternative grunge rock
125,0i8JFpqe9cKwnrcvoNgl1L,alt-rock alternative metal
126,4U1WGnRxI57j3Ebi9A3HtD,alt-rock alternative industrial metal
127,1kSjPQCJfwVkPcxflNMJK2,alt-rock alternative rock
128,2YDI2Irzquyw8H8ztLC2ql,alt-rock alternative rock
129,6lHlAlwFhEVKmYuCdln6e0,alt-rock alternative rock
130,0lFWwbunLKOYOl7QZrhesY,alt-rock alternative rock
131,7HS7bD1nAWG0CzigkPX7vN,alt-rock alternative rock
132,6Jb8PXvsr5VGF0kewMXmaQ,alt-rock alternative industrial metal
133,2dHFbe42W3zlzLRbjvvbp3,alt-rock alternative industrial metal
134,0OlgQYka86XhPepKdZ6xio,alt-rock alternative rock
135,7gu4nfoJkzmRsATBRjNCWI,alt-rock alternative industrial metal
136,7LyODTwVRK0KN0615tcBPq,alt-rock alternative industrial metal
137,5aZ1TeiMuTKqqPhYIR5hu1,alt-rock alternative rock
138,3otBSe8dnJMNDRE9AhSm0T,alt-rock alternative industrial metal
139,3mJV4kByjmgU3ubU7JPp9W,alt-rock alternative industrial metal
140,4YZg4UXqhMoUM40aPNIX1v,alt-rock alternative rock
141,0ttfJZcKq7E7NcIldlogbn,alt-rock alternative industrial metal
142,7gF611irT26CBRN7JOTRAU,alt-rock alternative rock
143,6U0KYAZFsPxLxc0x0bt7zl,alt-rock alternative industrial metal
144,3S3MAk28b2evnivIWkDshP,alt-rock alternative industrial metal
145,3AjZqmRivJhEVqbliY3yJa,alt-rock alternative industrial metal
146,20uDfvpjbtEFz4AeC9O7AQ,alt-rock alternative hard-rock metal rock
147,0WK1p8CduOKInJdZcjDy5A,alt-rock alternative industrial metal
148,40dr3CZGx83RL6ADIC7xvv,alt-rock alternative industrial metal
149,0JtccJIQR0zb4t2SSdsGeN,alt-rock alternative industrial metal
150,2iA4neLS2rg1dlciGgmt4X,alt-rock alternative hard-rock metal rock
151,4GPQDyw9hC1DiZVh0ouDVL,alt-rock alternative blues garage punk-rock punk rock
152,5ftfVzSLIi5ZxYdNbRtf41,alt-rock alternative blues garage punk-rock punk rock
153,6YrAf4oXHqLg0ZANlUMz6y,alt-rock alternative industrial metal
154,1955ZZJe1TzmSR0TomnNjI,alt-rock alternative hard-rock metal rock
155,2Z2vcMJMq1SFmteHzxJoey,alt-rock alternative industrial metal
156,1M8LMTTEajUuw7AN0g4f4i,alt-rock alternative hard-rock metal rock
157,0P9Kg7MUJ8ygcKSOPh1LfJ,alt-rock alternative blues metal r-n-b rock
158,582QmuQapDg7uo1jcAKsgN,alt-rock alternative hard-rock metal rock
159,5qEn8c0MBzyRKgQq91Vevi,alt-rock alternative indie-pop indie rock
160,14dJexYlvd3t3XAtD1pYW1,alt-rock alternative rock
161,7brQHA2CgQpcMBiOlfiXYb,alt-rock alternative rock
162,3NLrRZoMF0Lx6zTlYqeIo4,alt-rock alternative grunge metal
163,0fYVliAYKHuPmECRs1pbRf,alt-rock alternative rock
164,7K0WZ75nHqj450OYd3ZywF,alt-rock alternative blues
165,7ch89fdAaK52QYF5QKUUab,alt-rock alternative indie punk
166,2iwsJcPB5HIVTuHHwdTNO4,alt-rock alternative turkish
167,6CkLcIjIAWHJp3nZWhNQvF,alt-rock alternative turkish
168,4dI3UmOl7scnyCU4KgaaNO,alt-rock alternative rock
169,5WTKiRTdoDk07YJOP7y8DU,alt-rock alternative indie
170,3U6726RPDdw6JshdT9fGFM,alt-rock alternative indie
171,3KKmCToTNy7Mnvkd9k0vVR,alt-rock alternative indie
172,7n4Y9BCKLHi4hqI2NctuAq,alt-rock alternative indie
173,0ND3OzMoWDW8ciiobRGXxf,alt-rock alternative indie punk-rock punk
174,5UFr6YU5nIp1ra63Yusbp7,alt-rock alternative indie punk-rock punk
175,4sO7A5yF6SfqiHeINS61DE,alt-rock alternative indie punk-rock punk
176,42Jkqzhm5Y7ab7f1d22GTq,alt-rock alternative latin rock
